Date,Price
2023-01-02,11500
2023-01-03,11000
2023-01-04,13000
2023-01-05,12000
2023-01-06,12000
2023-01-07,13000
2023-01-09,11500
2023-01-10,13000
2023-01-11,13000
2023-01-12,14000
2023-01-13,14000
2023-01-16,11500
2023-01-17,13000
2023-01-18,12000
2023-01-19,12000
2023-01-20,13000
2023-01-21,13000
2023-01-23,12000
2023-01-24,13000
2023-01-25,12000
2023-01-27,13000
2023-01-30,13000
2023-01-31,13000
2023-02-01,13000
2023-02-02,12000
2023-02-03,12000
2023-02-04,12000
2023-02-06,11500
2023-02-07,12000
2023-02-08,12000
2023-02-09,14000
2023-02-10,13000
2023-02-13,11500
2023-02-14,12000
2023-02-15,13500
2023-02-16,13000
2023-02-17,12000
2023-02-20,12000
2023-02-21,13000
2023-02-22,13500
2023-02-23,13000
2023-02-24,13000
2023-02-27,13000
2023-02-28,12000
2023-03-01,14000
2023-03-02,13000
2023-03-03,13000
2023-03-04,13000
2023-03-06,11500
2023-03-07,13000
2023-03-08,13000
2023-03-09,13000
2023-03-10,13000
2023-03-13,13500
2023-03-14,14500
2023-03-15,13500
2023-03-16,13000
2023-03-17,13000
2023-03-18,13500
2023-03-20,13500
2023-03-21,14000
2023-03-23,14000
2023-03-24,14000
2023-03-27,13500
2023-03-28,14000
2023-03-29,13500
2023-03-30,14000
2023-03-31,14000
2023-04-01,14000
2023-04-03,14000
2023-04-05,14000
2023-04-06,14000
2023-04-10,13000
2023-04-11,15000
2023-04-12,14000
2023-04-13,13500
2023-04-15,13500
2023-04-17,14000
2023-04-18,14000
2023-04-19,13000
2023-04-20,13000
2023-04-21,14000
2023-04-24,13000
2023-04-25,12500
2023-04-26,13000
2023-04-27,12000
2023-04-28,13000
2023-04-29,12000
2023-05-02,12000
2023-05-03,13000
2023-05-04,14000
2023-05-05,13500
2023-05-08,13000
2023-05-09,12000
2023-05-11,12000
2023-05-12,13000
2023-05-15,12000
2023-05-16,12000
2023-05-17,13000
2023-05-18,12500
2023-05-19,12000
2023-05-20,12500
2023-05-22,12000
2023-05-23,12000
2023-05-24,12000
2023-05-25,12000
2023-05-26,13000
2023-05-29,12000
2023-05-30,11500
2023-05-31,13000
2023-06-01,13000
2023-06-02,12500
2023-06-03,12000
2023-06-05,12000
2023-06-06,12000
2023-06-07,11500
2023-06-08,12000
2023-06-09,11500
2023-06-12,11500
2023-06-13,11500
2023-06-14,12000
2023-06-15,12000
2023-06-16,12000
