Date,Price
2023-01-02,9200
2023-01-03,9200
2023-01-05,8950
2023-01-06,8950
2023-01-09,10200
2023-01-10,10200
2023-01-12,10200
2023-01-13,10200
2023-01-16,10200
2023-01-17,10300
2023-01-18,10300
2023-01-19,10300
2023-01-20,10300
2023-01-21,7250
2023-01-23,9550
2023-01-24,9550
2023-01-25,9550
2023-01-27,9550
2023-01-30,9550
2023-01-31,9550
2023-02-01,9550
2023-02-02,9550
2023-02-03,9000
2023-02-04,9000
2023-02-06,9000
2023-02-09,9000
2023-02-10,9000
2023-02-13,9000
2023-02-14,9000
2023-02-15,9000
2023-02-20,9000
2023-02-23,9000
2023-02-24,9000
2023-02-27,9000
2023-02-28,9000
2023-03-02,9000
2023-03-03,9000
2023-03-04,9000
2023-03-08,9000
2023-03-09,8800
2023-03-10,8800
2023-03-14,8800
2023-03-15,8800
2023-03-16,8800
2023-03-17,8800
2023-03-18,10150
2023-03-20,10150
2023-03-21,10150
2023-03-23,10150
2023-03-28,10150
2023-03-29,10150
2023-03-30,10150
2023-03-31,10150
2023-04-01,10150
2023-04-03,8750
2023-04-06,8750
2023-04-10,8750
2023-04-11,8750
2023-04-12,8750
2023-04-13,8750
2023-04-15,8750
2023-04-18,10000
2023-04-19,10000
2023-04-20,10000
2023-04-21,10000
2023-04-24,10000
2023-04-26,10000
2023-04-27,10000
2023-04-28,10000
2023-04-29,10000
2023-05-02,10000
2023-05-03,10000
2023-05-04,10000
2023-05-05,10000
2023-05-06,10000
2023-05-08,10000
2023-05-09,10000
2023-05-11,10000
2023-05-12,10000
2023-05-15,10000
2023-05-16,10000
2023-05-17,10000
2023-05-18,10000
2023-05-19,10000
2023-05-20,10350
2023-05-22,10350
2023-05-23,10350
2023-05-26,9250
2023-05-29,9250
2023-05-30,9250
2023-06-01,9250
2023-06-02,9250
2023-06-03,9250
2023-06-05,9250
2023-06-08,9250
2023-06-09,10100
2023-06-12,9250
2023-06-13,10300
2023-06-14,10300
2023-06-16,10300
2023-06-17,10300
2023-06-19,10300
2023-06-20,10300
2023-06-21,10300
2023-06-26,10300
2023-06-27,9250
2023-06-28,9250
2023-06-30,11550
2023-07-01,11550
2023-07-05,11550
2023-07-07,10500
2023-07-14,9750
2023-07-17,9750
2023-07-20,10450
2023-07-21,10450
2023-07-24,10450
2023-07-25,10450
2023-07-26,10800
2023-07-28,10800
2023-07-31,10800
2023-08-02,10650
2023-08-03,10650
2023-08-04,10650
2023-08-05,10650
2023-08-07,10650
2023-08-08,10650
2023-08-10,10650
2023-08-11,10650
2023-08-17,10100
2023-08-18,10100
2023-08-21,10100
2023-08-25,10100
2023-08-28,10100
2023-09-04,11100
2023-09-05,11100
2023-09-06,11100
2023-09-11,11100
2023-09-13,11050
2023-09-15,11050
2023-09-19,11050
2023-09-21,11500
2023-10-03,11500
2023-10-04,11500
2023-10-05,11500
2023-10-06,11500
2023-10-07,11500
2023-10-09,11500
2023-10-16,10600
2023-10-17,10600
2023-10-18,10600
2023-10-19,10600
2023-10-20,10600
2023-10-21,10600
2023-10-25,10600
2023-10-30,11400
2023-11-03,12150
2023-11-06,12150
2023-11-07,12150
2023-11-08,12150
2023-11-15,12150
2023-11-17,12150
2023-11-18,12150
2023-11-20,11250
2023-11-21,11250
2023-11-22,11500
2023-11-23,11500
2023-11-27,11500
2023-11-29,11500
2023-12-02,11500
2023-12-04,11500
2023-12-05,11500
2023-12-06,11500
2023-12-11,11500
2023-12-13,11500
2023-12-14,11500
2023-12-15,11500
2023-12-20,11000
2023-12-26,11000
2023-12-28,11900
2023-12-29,11900
2024-01-01,11900
2024-01-02,11900
2024-01-04,11500
2024-01-09,11500
2024-01-19,10000
2024-01-20,10000
2024-01-22,10000
2024-01-24,11500
2024-01-29,11500
2024-01-30,11800
2024-02-03,11800
2024-02-08,11800
2024-02-15,11200
2024-02-16,11200
2024-02-17,11200
2024-02-19,11750
2024-02-20,11750
2024-02-21,11750
2024-02-27,11750
2024-03-01,11300
2024-03-02,11300
2024-03-05,11300
2024-03-06,11300
2024-03-11,10500
2024-03-12,10500
2024-03-13,10500
2024-03-14,10500
2024-03-15,10500
2024-03-18,10500
2024-03-20,11000
2024-03-25,11000
2024-03-26,11000
2024-03-27,11000
2024-03-28,11000
2024-03-30,12700
2024-04-05,12700
2024-04-15,12700
2024-04-16,12700
2024-04-18,12700
2024-04-19,12450
2024-04-22,12450
2024-04-23,12450
2024-04-25,12450
2024-04-29,12450
2024-04-30,11250
2024-05-02,11250
2024-05-03,11250
2024-05-06,11250
2024-05-07,11250
2024-05-08,11250
2024-05-13,11250
2024-05-15,11750
2024-05-16,11750
2024-05-20,11750
2024-05-21,11750
2024-05-24,11750
2024-05-30,11650
2024-05-31,11650
2024-06-04,11650
2024-06-07,11650
2024-06-10,11650
2024-06-11,11650
2024-06-12,13550
2024-06-13,13550
2024-06-14,13550
2024-06-15,13550
2024-06-18,13550
2024-06-19,13550
2024-06-20,13550
2024-06-24,13550
2024-06-25,13550
2024-06-27,11400
2024-06-28,11400
2024-06-29,11400
2024-07-01,11400
2024-07-02,11400
2024-07-03,11400
2024-07-05,11400
2024-07-06,11400
2024-07-09,11400
2024-07-11,11400
2024-07-12,11400
2024-07-15,11400
2024-07-19,11400
2024-07-20,11500
2024-07-22,11500
2024-07-23,11500
2024-07-25,11500
2024-07-26,11500
