Date,Price
2023-01-02,2100
2023-01-03,3300
2023-01-04,3800
2023-01-05,2800
2023-01-06,2300
2023-01-07,2400
2023-01-09,1900
2023-01-10,2000
2023-01-11,2100
2023-01-12,3600
2023-01-13,1900
2023-01-16,2000
2023-01-17,2100
2023-01-18,2800
2023-01-19,2700
2023-01-20,1900
2023-01-21,2700
2023-01-23,2700
2023-01-24,2800
2023-01-25,2800
2023-01-27,2700
2023-01-30,2800
2023-01-31,2700
2023-02-01,2800
2023-02-02,2500
2023-02-03,2800
2023-02-04,3000
2023-02-06,2400
2023-02-07,2400
2023-02-08,2300
2023-02-09,2300
2023-02-10,2400
2023-02-13,2400
2023-02-14,2500
2023-02-15,2300
2023-02-16,2700
2023-02-17,2400
2023-02-20,2200
2023-02-21,2700
2023-02-22,2300
2023-02-23,2300
2023-02-24,2400
2023-02-27,2400
2023-02-28,2300
2023-03-01,2400
2023-03-02,2200
2023-03-03,2400
2023-03-04,2700
2023-03-06,2900
2023-03-07,2900
2023-03-08,3100
2023-03-09,3200
2023-03-10,3400
2023-03-13,4200
2023-03-14,4200
2023-03-15,4300
2023-03-16,3400
2023-03-17,3500
2023-03-18,4200
2023-03-20,6500
2023-03-21,6300
2023-03-23,2900
2023-03-24,6500
2023-03-27,6300
2023-03-28,6400
2023-03-29,6400
2023-03-30,6300
2023-03-31,7500
2023-04-01,7200
2023-04-03,4800
2023-04-05,7500
2023-04-06,3100
2023-04-10,8200
2023-04-11,6300
2023-04-12,7300
2023-04-13,8000
2023-04-15,7800
2023-04-17,8200
2023-04-18,7900
2023-04-19,8200
2023-04-20,9200
2023-04-21,12500
2023-04-24,12500
2023-04-25,9200
2023-04-26,12500
2023-04-27,12800
2023-04-28,12500
2023-04-29,12800
2023-05-02,13200
2023-05-03,13800
2023-05-04,13700
2023-05-05,13200
2023-05-06,13700
2023-05-08,9000
2023-05-09,9300
2023-05-11,10000
2023-05-12,9800
2023-05-15,10500
2023-05-16,10500
2023-05-17,9800
2023-05-18,10500
2023-05-19,10500
2023-05-20,10500
2023-05-22,4200
2023-05-23,13500
2023-05-24,14000
2023-05-25,15000
2023-05-26,14000
2023-05-29,14000
2023-05-30,13500
2023-05-31,14000
2023-06-01,14300
2023-06-02,10500
2023-06-03,14000
