Date,Price
2023-01-02,20000
2023-01-03,20000
2023-01-04,20000
2023-01-05,20000
2023-01-06,20000
2023-01-07,20000
2023-01-09,20000
2023-01-10,20000
2023-01-11,20000
2023-01-12,20000
2023-01-13,20000
2023-01-16,20000
2023-01-17,20000
2023-01-18,20000
2023-01-19,20000
2023-01-20,20000
2023-01-21,20000
2023-01-23,20000
2023-01-24,20000
2023-01-25,20000
2023-01-31,20000
2023-02-01,20000
2023-02-02,20000
2023-02-03,20000
2023-02-04,20000
2023-02-06,20000
2023-02-07,20000
2023-02-08,20000
2023-02-09,20000
2023-02-10,20000
2023-02-13,20000
2023-02-14,20000
2023-02-15,20000
2023-02-17,20000
2023-02-20,20000
2023-02-21,20000
2023-02-22,20000
2023-02-23,20000
2023-02-24,20000
2023-02-27,20000
2023-02-28,20000
2023-03-02,20000
2023-03-03,20000
2023-03-06,20000
2023-03-07,20000
2023-03-08,20000
2023-03-09,20000
2023-03-10,20000
2023-03-14,20000
2023-03-15,20000
2023-03-16,20000
2023-03-17,20000
2023-03-18,20000
2023-03-21,20000
2023-03-23,20000
2023-03-24,20000
2023-03-27,20000
2023-03-28,20000
2023-03-29,20000
2023-03-30,20000
2023-03-31,20000
2023-04-01,20000
2023-04-03,20000
2023-04-05,20000
2023-04-06,20000
2023-04-10,20000
2023-04-11,20000
2023-04-12,20000
2023-04-13,20000
2023-04-17,20000
2023-04-18,20000
2023-04-19,20000
2023-04-20,20000
2023-04-21,20000
2023-04-25,20000
2023-04-26,20000
2023-04-27,20000
2023-04-28,20000
2023-04-29,20000
2023-05-03,20000
2023-05-04,20000
2023-05-05,20000
2023-05-06,20000
2023-05-08,20000
2023-05-09,20000
2023-05-12,20000
2023-05-16,20000
2023-05-17,20000
2023-05-18,20000
2023-05-19,20000
2023-05-20,20000
2023-05-22,20000
2023-05-23,20000
2023-05-29,20000
2023-05-30,20000
2023-05-31,20000
2023-06-01,20000
2023-06-02,20000
2023-06-03,20000
2023-06-05,20000
2023-06-06,20000
2023-06-07,20000
2023-06-08,20000
2023-06-09,20000
2023-06-12,20000
2023-06-13,20000
2023-06-14,20000
2023-06-15,20000
2023-06-16,20000
2023-06-17,20000
2023-06-19,20000
2023-06-20,20000
2023-06-21,20000
2023-06-22,20000
2023-06-23,20000
2023-06-26,20000
2023-06-27,20000
2023-06-28,20000
2023-06-30,20000
2023-07-01,20000
2023-07-03,20000
2023-07-04,20000
2023-07-05,20000
2023-07-06,20000
2023-07-07,20000
2023-07-12,20000
2023-07-13,20000
2023-07-14,20000
2023-07-17,20000
2023-07-18,20000
2023-07-20,20000
2023-07-21,20000
2023-07-24,20000
2023-07-25,20000
2023-07-26,20000
2023-07-27,20000
2023-07-28,20000
2023-07-31,20000
2023-08-01,20000
2023-08-02,20000
2023-08-03,20000
2023-08-04,20000
2023-08-05,20000
2023-08-07,20000
2023-08-08,20000
2023-08-09,20000
2023-08-10,20000
2023-08-11,20000
2023-08-17,20000
2023-08-18,20000
2023-08-19,20000
2023-08-21,20000
2023-08-22,20000
2023-08-23,20000
2023-08-25,20000
2023-08-28,20000
2023-08-29,20000
2023-08-30,20000
2023-08-31,20000
2023-09-01,20000
2023-09-02,20000
2023-09-04,20000
2023-09-05,20000
2023-09-06,20000
2023-09-08,20000
2023-09-11,20000
2023-09-12,20000
2023-09-13,20000
2023-09-15,20000
2023-09-16,20000
2023-09-19,20000
2023-09-21,20000
2023-10-03,20000
2023-10-04,20000
2023-10-05,20000
2023-10-06,20000
2023-10-07,20000
2023-10-09,20000
2023-10-16,20000
2023-10-17,20000
2023-10-18,20000
2023-10-19,20000
2023-10-20,20000
2023-10-21,20000
2023-10-25,20000
2023-10-26,20000
2023-10-27,20000
2023-10-30,20000
2023-11-03,20000
2023-11-04,20000
2023-11-06,20000
2023-11-07,20000
2023-11-08,20000
2023-11-09,20000
2023-11-15,20000
2023-11-17,20000
2023-11-18,20000
2023-11-20,20000
2023-11-21,20000
2023-11-22,20000
2023-11-23,20000
2023-11-28,20000
2023-11-29,20000
2023-12-01,20000
2023-12-02,20000
2023-12-04,20000
2023-12-05,20000
2023-12-06,20000
2023-12-07,20000
2023-12-08,20000
2023-12-11,20000
2023-12-12,20000
2023-12-13,20000
2023-12-14,20000
2023-12-15,20000
2023-12-20,20000
2023-12-21,20000
2023-12-22,20000
2023-12-26,20000
2023-12-27,20000
2023-12-28,20000
2023-12-29,20000
2023-12-30,20000
2024-01-01,20000
2024-01-02,20000
2024-01-03,20000
2024-01-04,20000
2024-01-05,20000
2024-01-06,20000
2024-01-08,20000
2024-01-09,20000
2024-01-10,20000
2024-01-19,20000
2024-01-20,20000
2024-01-22,20000
2024-01-23,20000
2024-01-24,20000
2024-01-25,20000
2024-01-30,20000
2024-02-01,20000
2024-02-02,20000
2024-02-03,20000
2024-02-07,20000
2024-02-08,20000
2024-02-14,20000
2024-02-15,20000
2024-02-16,20000
2024-02-17,20000
2024-02-20,20000
2024-02-21,20000
2024-02-27,20000
2024-02-28,20000
2024-02-29,20000
2024-03-01,20000
2024-03-02,20000
2024-03-04,20000
2024-03-05,20000
2024-03-06,20000
2024-03-07,20000
2024-03-12,20000
2024-03-13,20000
2024-03-14,20000
2024-03-15,20000
2024-03-18,20000
2024-03-20,20000
2024-03-21,20000
2024-03-26,20000
2024-03-27,20000
2024-03-28,20000
2024-03-30,20000
2024-04-05,20000
2024-04-16,20000
2024-04-17,20000
2024-04-18,20000
2024-04-19,20000
2024-04-23,20000
2024-04-24,20000
2024-04-25,20000
2024-04-30,20000
2024-05-02,20000
2024-05-03,20000
2024-05-04,20000
2024-06-06,20000
2024-06-10,20000
2024-06-11,20000
2024-06-12,20000
2024-06-13,20000
2024-06-14,20000
2024-06-15,20000
2024-06-18,20000
2024-06-19,20000
2024-06-20,20000
2024-06-21,20000
2024-06-24,20000
2024-06-25,20000
2024-06-26,20000
2024-06-27,20000
2024-06-28,20000
2024-06-29,20000
2024-07-01,20000
2024-07-02,20000
2024-07-03,20000
2024-07-04,20000
2024-07-06,20000
2024-07-08,20000
2024-07-09,20000
2024-07-10,20000
2024-07-11,20000
2024-07-12,20000
2024-07-15,20000
2024-07-19,20000
2024-07-20,20000
2024-07-22,20000
2024-07-23,20000
2024-07-24,20000
2024-07-25,20000
2024-07-26,20000
