Date,Price
2023-01-02,8081
2023-01-05,8272
2023-01-09,8533
2023-01-12,8082
2023-01-16,7793
2023-01-18,8453
2023-01-19,8251
2023-01-23,8316
2023-01-26,7929
2023-01-30,7872
2023-01-31,8019
2023-02-02,7837
2023-02-06,7703
2023-02-09,7429
2023-02-13,7604
2023-02-16,7591
2023-02-20,7399
2023-02-23,7536
2023-02-27,7146
2023-02-28,6850
2023-03-02,6767
2023-03-06,6653
2023-03-09,6749
2023-03-12,6750
2023-03-13,6732
2023-03-16,6583
2023-03-17,6500
2023-03-18,6500
2023-03-19,6500
2023-03-21,6575
2023-03-23,6514
2023-03-25,6650
2023-03-26,6690
2023-03-27,6549
2023-03-29,6700
2023-04-03,6683
2023-04-06,6733
2023-04-09,6850
2023-04-10,6870
2023-04-20,6990
2023-04-24,7172
2023-05-11,7129
2023-05-29,6589
2023-06-03,6950
2023-06-05,6711
2023-06-14,7600
2023-06-17,6711
2023-06-28,6449
2023-07-01,6701
2023-07-06,6813
2023-07-24,6639
2023-08-03,6600
2023-10-10,7636
2023-10-24,7232
2023-10-26,7323
2023-11-02,7469
2023-11-06,7487
2023-11-14,7313
2023-11-16,7294
2023-11-20,7289
2023-11-27,7002
2023-11-30,6816
2023-12-01,6994
2023-12-04,6608
2023-12-07,6279
2023-12-11,6540
2023-12-18,6147
2023-12-27,5451
2024-01-09,6243
2024-01-10,6475
2024-01-11,6437
2024-01-16,6219
2024-02-05,6540
2024-02-15,6624
2024-02-19,6551
2024-02-20,7010
2024-03-04,7250
2024-03-06,7450
2024-03-14,6990
2024-03-19,7480
2024-03-27,7360
2024-03-29,7180
2024-03-30,7521
2024-03-31,7450
2024-04-01,7250
2024-04-02,7160
2024-04-04,7212
2024-04-05,7095
2024-04-07,7138
2024-04-13,7200
2024-04-15,7207
2024-04-16,7190
2024-04-18,7172
2024-04-19,7240
2024-04-22,6864
2024-04-25,7277
2024-04-26,7280
2024-05-02,7263
2024-05-03,8055
2024-05-05,7856
2024-05-30,7840
2024-06-05,7643
2024-06-13,7755
2024-06-24,6971
2024-06-26,6850
