Date,Price
2023-01-02,3300
2023-01-03,4300
2023-01-04,3800
2023-01-05,3700
2023-01-06,3500
2023-01-07,3700
2023-01-09,2300
2023-01-10,2300
2023-01-11,2200
2023-01-12,2300
2023-01-13,2300
2023-01-16,2400
2023-01-17,2500
2023-01-18,2700
2023-01-19,2700
2023-01-20,2300
2023-01-21,2700
2023-01-23,3300
2023-01-24,3200
2023-01-25,3200
2023-01-27,2400
2023-01-30,2800
2023-01-31,2800
2023-02-01,2900
2023-02-02,3200
2023-02-03,3200
2023-02-04,3100
2023-02-06,3700
2023-02-07,3700
2023-02-08,4300
2023-02-09,4300
2023-02-10,3700
2023-02-13,5500
2023-02-14,5500
2023-02-15,4300
2023-02-16,4200
2023-02-17,5500
2023-02-20,3800
2023-02-21,4200
2023-02-22,4000
2023-02-23,4100
2023-02-24,3700
2023-02-27,3300
2023-02-28,4100
2023-03-01,3800
2023-03-02,3800
2023-03-03,3800
2023-03-04,3800
2023-03-06,4200
2023-03-07,4900
2023-03-08,4800
2023-03-09,4800
2023-03-10,4300
2023-03-13,4400
2023-03-14,4200
2023-03-15,4500
2023-03-16,4300
2023-03-17,4400
2023-03-18,4500
2023-03-20,5800
2023-03-21,5800
2023-03-23,4900
2023-03-24,4900
2023-03-27,8300
2023-03-28,8400
2023-03-29,8400
2023-03-30,8300
2023-03-31,3000
2023-04-01,7800
2023-04-03,6800
2023-04-05,3900
2023-04-06,8300
2023-04-10,7800
2023-04-11,5500
2023-04-12,5600
2023-04-13,7500
2023-04-15,8300
2023-04-17,8300
2023-04-18,8300
2023-04-19,8300
2023-04-20,8300
2023-04-21,7200
2023-04-24,7200
2023-04-25,8300
2023-04-26,7200
2023-04-27,7300
2023-04-28,7200
2023-04-29,7300
2023-05-02,7500
2023-05-03,7700
2023-05-04,7300
2023-05-05,7500
2023-05-06,7300
2023-05-08,8300
2023-05-09,8500
2023-05-11,9300
2023-05-12,9300
2023-05-15,8800
2023-05-16,8900
2023-05-17,5100
2023-05-18,7800
2023-05-19,7800
2023-05-20,4300
2023-05-22,7800
2023-05-23,7500
2023-05-24,7800
2023-05-25,7800
2023-05-26,7800
2023-05-29,4800
2023-05-30,5000
2023-05-31,7800
2023-06-01,7800
2023-06-02,8300
2023-06-03,7800
2023-06-05,8800
2023-06-06,8900
2023-06-07,8800
2023-06-08,8800
2023-06-09,7800
2023-06-12,8900
2023-06-13,9000
2023-06-14,2300
2023-06-15,2400
2023-06-16,2300
2023-06-17,9000
2023-06-19,5000
2023-06-20,7200
2023-06-21,6800
2023-06-22,6700
2023-06-23,6300
2023-06-26,8300
2023-06-27,6800
2023-06-28,6800
2023-06-30,6800
2023-07-01,6800
2023-07-03,8300
2023-07-04,5300
2023-07-05,8300
2023-07-06,8300
2023-07-07,8300
2023-07-10,5200
2023-07-11,6300
2023-07-12,7500
2023-07-13,5200
2023-07-14,6500
2023-07-15,6500
2023-07-17,8000
2023-07-18,5500
2023-07-19,5500
2023-07-20,5500
2023-07-21,5500
2023-07-24,6300
2023-07-25,5500
2023-07-26,4300
2023-07-27,4300
2023-07-28,4450
2023-07-31,8500
2023-08-01,8300
2023-08-02,6800
2023-08-03,7300
2023-08-04,7300
2023-08-05,7200
2023-08-07,6500
2023-08-08,6500
2023-08-09,6500
2023-08-10,6800
2023-08-11,4300
2023-08-14,4300
2023-08-17,2600
2023-08-18,2300
2023-08-19,2600
2023-08-21,3300
2023-08-22,3300
2023-08-23,3400
2023-08-24,3000
2023-08-25,3100
2023-08-28,3100
2023-08-29,3100
2023-08-30,3100
2023-08-31,3100
2023-09-01,3100
2023-09-02,3000
2023-09-04,2900
2023-09-05,3000
2023-09-06,2900
2023-09-08,3300
2023-09-11,5800
2023-09-12,5900
2023-09-13,5800
2023-09-14,5800
2023-09-15,6500
2023-09-16,6500
2023-09-19,5200
2023-09-20,5900
2023-09-21,5300
2023-09-22,5300
2023-09-23,5800
2023-09-25,5800
2023-09-26,4100
2023-09-27,4200
2023-09-28,4300
2023-09-29,4400
2023-09-30,4400
2023-10-02,4600
2023-10-03,4700
2023-10-04,4300
2023-10-05,5500
2023-10-06,6700
2023-10-07,7500
2023-10-09,6000
2023-10-10,4000
2023-10-11,4000
2023-10-12,4000
2023-10-13,4000
2023-10-16,4000
2023-10-17,4000
2023-10-18,5000
2023-10-19,5000
2023-10-20,4000
2023-10-21,4000
2023-10-25,8000
2023-10-26,8300
2023-10-27,7300
2023-10-30,4700
2023-10-31,3300
2023-11-02,3400
2023-11-03,3500
2023-11-04,3600
2023-11-06,3600
2023-11-07,3700
2023-11-08,4200
2023-11-09,3800
2023-11-10,3900
2023-11-13,6700
2023-11-15,7100
2023-11-16,7300
2023-11-17,5300
2023-11-18,5400
2023-11-20,5300
2023-11-21,5300
2023-11-22,5300
2023-11-23,5300
2023-11-24,5300
2023-11-27,3000
2023-11-28,3100
2023-11-29,3900
2023-12-01,3300
2023-12-02,3300
2023-12-04,3200
2023-12-05,3400
2023-12-06,3700
2023-12-07,4000
2023-12-08,4500
2023-12-11,3300
2023-12-12,3300
2023-12-13,3300
2023-12-14,3700
2023-12-15,3300
2023-12-16,3800
2023-12-18,3800
2023-12-19,3700
2023-12-20,3700
2023-12-21,3800
2023-12-22,3300
2023-12-26,3400
2023-12-27,3400
2023-12-28,3000
2023-12-29,3000
2023-12-30,3200
2024-01-01,3100
2024-01-02,3100
2024-01-03,3100
2024-01-04,3100
2024-01-05,3100
2024-01-06,3100
2024-01-08,3100
2024-01-09,3100
2024-01-10,3100
2024-01-11,3100
2024-01-12,3800
2024-01-16,3700
2024-01-17,3700
2024-01-24,4000
2024-01-25,4100
2024-01-29,3300
2024-01-30,3500
2024-01-31,3200
2024-02-01,3200
2024-02-02,3700
2024-02-03,3300
2024-02-05,3600
2024-02-06,2400
2024-02-07,3200
2024-02-08,3200
2024-02-09,3200
2024-02-12,3400
2024-02-13,3600
2024-02-14,3200
2024-02-15,3200
2024-02-16,3300
2024-02-17,4100
2024-02-19,3900
2024-02-20,3900
2024-02-21,3900
2024-02-22,3900
2024-02-23,3900
2024-02-26,3600
2024-02-27,3300
2024-02-28,3700
2024-02-29,3700
2024-03-01,3700
2024-03-02,3700
2024-03-04,4400
2024-03-05,3700
2024-03-06,3800
2024-03-07,3700
2024-03-11,4400
2024-03-12,3700
2024-03-13,3700
2024-03-14,3800
2024-03-15,3600
2024-03-16,3800
2024-03-18,4300
2024-03-19,4200
2024-03-20,4300
2024-03-21,5100
2024-03-22,5300
2024-03-25,5300
2024-03-26,5300
2024-03-27,5300
2024-03-28,5700
2024-03-30,5800
2024-04-01,5800
2024-04-02,5500
2024-04-03,5200
2024-04-04,5900
2024-04-05,5700
2024-04-06,6300
2024-04-08,7200
2024-04-15,6300
2024-04-16,7100
2024-04-17,8200
2024-04-18,8800
2024-04-19,11000
2024-04-20,11800
2024-04-22,8300
2024-04-23,7300
2024-04-24,8300
2024-04-26,11100
2024-04-29,11000
2024-04-30,13300
2024-05-02,13000
2024-05-03,12700
2024-05-04,12000
2024-05-06,12400
2024-05-07,13500
2024-05-08,13500
2024-05-09,13500
2024-05-13,13000
2024-05-14,13400
2024-05-15,12900
2024-05-16,13500
2024-05-17,13500
2024-05-18,14500
2024-05-20,13900
2024-05-21,16300
2024-05-22,15500
2024-05-23,17300
2024-05-24,16300
2024-05-27,15000
2024-05-28,15000
2024-05-29,16500
2024-05-30,16000
2024-05-31,16000
2024-06-01,1500
2024-06-03,16000
2024-06-04,8000
2024-06-05,8500
2024-06-06,6000
2024-06-07,6500
2024-06-10,5800
2024-06-11,7500
2024-06-12,7500
2024-06-13,8500
2024-06-14,8500
2024-06-15,9500
2024-06-18,11000
2024-06-19,11500
2024-06-20,13000
2024-06-21,9000
2024-06-24,5500
2024-06-25,4500
2024-06-26,4500
2024-06-27,4500
2024-06-28,4500
2024-06-29,4500
2024-07-01,4500
2024-07-02,4600
2024-07-03,4300
2024-07-04,4300
2024-07-05,4300
2024-07-06,4300
2024-07-08,5300
2024-07-09,5300
2024-07-10,5300
2024-07-11,5300
2024-07-12,4700
2024-07-15,3800
2024-07-16,4200
2024-07-18,5000
2024-07-19,4700
2024-07-20,4800
2024-07-22,4700
2024-07-23,4600
2024-07-24,4600
2024-07-25,4600
2024-07-26,4300
