Date,Price
2023-01-02,5350
2023-01-04,5450
2023-01-05,4850
2023-01-07,5400
2023-01-09,5500
2023-01-10,5481
2023-01-11,5455
2023-01-12,5555
2023-01-13,5491
2023-01-16,5340
2023-01-17,5465
2023-01-19,5401
2023-01-20,5470
2023-01-21,5300
2023-01-23,5300
2023-01-24,5341
2023-01-25,5376
2023-02-01,5350
2023-02-02,5314
2023-02-03,5000
2023-02-04,5200
2023-02-06,5101
2023-02-07,5101
2023-02-08,5221
2023-02-09,5100
2023-02-10,5100
2023-02-11,4535
2023-02-13,5200
2023-02-16,4800
2023-02-17,4976
2023-02-20,5250
2023-02-23,5000
2023-02-24,5112
2023-02-25,5370
2023-02-27,5200
2023-02-28,5200
2023-03-02,5337
2023-03-03,5202
2023-03-04,5300
2023-03-06,5325
2023-03-13,5300
2023-03-14,5251
2023-03-15,5281
2023-03-16,5200
2023-03-20,5246
2023-03-21,5312
2023-03-22,5352
2023-03-24,5216
2023-03-25,5350
2023-03-27,5401
2023-03-28,5375
2023-03-31,5300
2023-04-03,5300
2023-04-05,5300
2023-04-06,5200
2023-04-08,5200
2023-04-11,5225
2023-04-12,5225
2023-04-13,5225
2023-04-17,5200
2023-04-18,5050
2023-04-19,5000
2023-04-20,5011
2023-04-21,5100
2023-04-24,5100
2023-04-26,5320
2023-04-27,5180
2023-04-28,5250
2023-04-29,5180
2023-05-04,5000
2023-05-05,5100
2023-05-06,5100
2023-05-08,5155
2023-05-09,5051
2023-05-10,5100
2023-05-11,5200
2023-05-12,5200
2023-05-13,5200
2023-05-15,5171
2023-05-16,4550
2023-05-18,5171
2023-05-19,5224
2023-05-21,5200
2023-05-22,5224
2023-05-23,5200
2023-05-24,5221
2023-05-25,5100
2023-05-26,5355
2023-05-27,5201
2023-06-01,5200
2023-06-03,5255
2023-06-05,5420
2023-06-07,5201
2023-06-08,4000
2023-06-09,5306
2023-06-10,5311
2023-06-12,5350
2023-06-13,5350
2023-06-14,5281
2023-06-15,5250
2023-06-16,5411
2023-06-17,5200
2023-06-19,5245
2023-06-20,5000
2023-06-22,5200
2023-06-23,4300
2023-06-24,5305
2023-06-27,5200
2023-06-28,5281
2023-06-30,5235
2023-07-01,5100
2023-07-04,5000
2023-07-06,5150
2023-07-07,5300
2023-07-13,5400
2023-07-14,5199
2023-07-15,5270
2023-07-19,5045
2023-07-20,5247
2023-07-21,5005
2023-07-22,5000
2023-07-24,5151
2023-07-26,5205
2023-07-27,5291
2023-07-31,4950
2023-08-01,5095
2023-08-02,5357
2023-08-04,5000
2023-08-11,5000
2023-08-14,5351
2023-08-16,5000
2023-08-17,5296
2023-08-24,5401
2023-09-02,6095
2023-09-11,6100
2023-09-23,6000
2023-09-25,5770
2023-09-26,6021
2023-09-27,5901
2023-10-03,5240
2023-10-05,5610
2023-10-06,4801
2023-10-09,5550
2023-10-10,5500
2023-10-11,5060
2023-10-13,5000
2023-10-14,5400
2023-10-20,4401
2023-10-28,5652
2023-11-02,5705
2023-11-06,5500
2023-11-07,5751
2023-11-21,5680
2023-11-23,5980
2023-11-24,5600
2023-12-05,5495
2023-12-12,5511
2023-12-13,5511
2023-12-14,5460
2023-12-16,5399
2023-12-23,5565
2023-12-27,5693
2023-12-29,5657
2023-12-30,5480
2024-01-01,5501
2024-01-04,5555
2024-01-06,5500
2024-01-07,5000
2024-01-08,5720
2024-01-11,5540
2024-01-12,5301
2024-01-13,5700
2024-01-16,5400
2024-01-17,4100
2024-01-19,5590
2024-01-20,5340
2024-02-07,5591
2024-02-09,5600
2024-02-10,5640
2024-02-15,5700
2024-02-16,5501
2024-02-20,5799
2024-02-21,4628
2024-02-22,4600
2024-02-23,5675
2024-02-27,5300
2024-02-28,5200
2024-02-29,4850
2024-03-01,5600
2024-03-04,5701
2024-03-06,5000
2024-03-07,5400
2024-03-09,5600
2024-03-11,5450
2024-03-12,5400
2024-03-13,5221
2024-03-14,4801
2024-03-15,5250
2024-03-16,5200
2024-03-19,5450
2024-03-20,5351
2024-03-21,5325
2024-03-22,5350
2024-04-02,5390
2024-04-03,5410
2024-04-04,5450
2024-04-06,5350
2024-04-08,5450
2024-04-09,5300
2024-04-13,5621
2024-04-15,5451
2024-04-18,5370
2024-04-19,5220
2024-04-20,5220
2024-04-22,5405
2024-04-25,5460
2024-04-26,5401
2024-04-27,5360
2024-04-29,5400
2024-04-30,5600
2024-05-02,5300
2024-05-03,5470
2024-05-04,5311
2024-05-16,5200
2024-05-17,5400
2024-05-18,5051
2024-05-20,5670
2024-05-21,5630
2024-05-22,5752
2024-05-23,5752
2024-05-24,5655
2024-05-25,5670
2024-05-28,5611
2024-05-29,5301
2024-05-30,5260
2024-05-31,5200
2024-06-01,4925
2024-06-03,5300
2024-06-04,5375
2024-06-05,5201
2024-06-07,5800
2024-06-08,5750
2024-06-11,5750
2024-06-12,5450
2024-06-13,5201
2024-06-14,5191
2024-06-15,5100
2024-06-18,5301
2024-06-20,5290
2024-06-24,5200
2024-06-25,5000
2024-06-26,5050
2024-06-27,5240
2024-06-29,5411
2024-07-02,5300
2024-07-03,5300
2024-07-05,5360
2024-07-06,5121
2024-07-09,5450
2024-07-10,5535
2024-07-13,5399
2024-07-18,5098
2024-07-20,5270
2024-07-23,5630
2024-07-24,5100
2024-07-25,5660
