Date,Price
2023-03-13,4400
2023-03-14,4200
2023-03-17,4300
2023-03-20,5300
2023-03-21,5600
2023-03-23,4200
2023-03-27,4300
2023-03-27,7000
2023-03-29,8000
2023-03-30,3800
2023-03-31,2900
2023-04-01,5000
2023-04-01,6000
2023-04-01,7000
2023-04-01,9000
2023-04-03,6000
2023-04-03,7000
2023-04-03,9000
2023-04-06,5000
2023-04-06,6000
2023-04-06,7000
2023-04-06,9000
2023-04-10,5000
2023-04-10,5500
2023-04-10,6000
2023-04-10,7000
2023-04-12,5000
2023-04-12,6000
2023-04-12,7000
2023-04-17,5000
2023-04-17,6000
2023-04-17,8000
2023-04-18,5500
2023-04-18,6000
2023-04-18,8000
2023-04-19,4500
2023-04-19,6000
2023-04-19,8000
2023-04-20,5000
2023-04-20,7000
2023-04-20,9000
2023-04-21,6000
2023-04-21,8000
2023-04-24,5000
2023-04-24,7000
2023-04-24,9000
2023-04-25,4500
2023-04-25,5000
2023-04-25,7000
2023-04-26,4500
2023-04-26,5000
2023-04-26,8000
2023-04-27,4500
2023-04-27,5500
2023-04-27,8000
2023-04-28,4000
2023-04-28,5000
2023-04-28,7000
2023-04-29,4500
2023-04-29,5000
2023-04-29,7000
2023-05-02,4500
2023-05-02,5500
2023-05-02,8000
2023-05-03,3000
2023-05-03,6000
2023-05-03,6000
2023-05-04,3800
2023-05-04,7000
2023-05-05,3500
2023-05-05,7000
2023-05-08,3500
2023-05-08,6500
2023-05-08,7500
2023-05-09,3800
2023-05-09,5000
2023-05-09,7000
2023-05-11,3800
2023-05-11,5000
2023-05-11,6000
2023-05-12,5500
2023-05-12,7000
2023-05-15,4000
2023-05-15,6000
2023-05-15,7000
2023-05-16,4000
2023-05-16,6000
2023-05-16,6800
2023-05-16,7000
2023-05-17,3000
2023-05-17,5000
2023-05-17,5000
2023-05-17,6000
2023-05-17,6000
2023-05-18,3000
2023-05-18,5500
2023-05-18,6000
2023-05-19,3500
2023-05-19,5000
2023-05-19,6000
2023-05-20,2500
2023-05-20,3000
2023-05-20,5500
2023-05-20,6000
2023-05-20,7000
2023-05-22,3500
2023-05-22,5000
2023-05-22,5500
2023-05-22,6000
2023-05-23,5500
2023-05-23,6000
2023-05-24,3200
2023-05-24,5000
2023-05-24,5500
2023-05-24,6500
2023-05-25,3500
2023-05-25,5500
2023-05-25,5500
2023-05-26,4000
2023-05-26,6000
2023-05-26,7000
2023-05-29,3000
2023-05-29,6000
2023-05-29,7000
2023-05-29,7000
2023-05-30,3500
2023-05-30,5500
2023-05-30,6000
2023-05-30,6000
2023-05-31,3000
2023-05-31,5000
2023-05-31,6000
2023-05-31,6000
2023-06-01,3000
2023-06-01,6000
2023-06-01,7000
2023-06-02,2500
2023-06-02,3000
2023-06-02,6000
2023-06-02,6000
2023-06-03,3000
2023-06-03,3500
2023-06-03,5000
2023-06-03,6000
2023-06-03,6000
2023-06-05,3500
2023-06-05,4000
2023-06-05,5000
2023-06-05,6000
2023-06-05,6000
2023-06-05,10000
2023-06-06,2500
2023-06-06,4000
2023-06-06,4500
2023-06-06,6000
2023-06-07,4500
2023-06-07,5000
2023-06-07,6000
2023-06-08,3000
2023-06-08,3500
2023-06-08,5000
2023-06-08,6000
2023-06-08,6000
2023-06-09,3000
2023-06-09,4500
2023-06-09,5000
2023-06-09,6000
2023-06-12,4500
2023-06-12,5000
2023-06-12,6000
2023-06-13,3500
2023-06-13,4500
2023-06-13,5000
2023-06-13,6000
2023-06-14,2800
2023-06-14,5000
2023-06-14,5000
2023-06-15,3000
2023-06-15,5500
2023-06-15,5500
2023-06-16,2500
2023-06-16,3000
2023-06-16,6000
2023-06-16,6000
2023-06-17,3000
2023-06-19,3000
2023-06-19,3000
2023-06-19,4000
2023-06-19,5500
2023-06-19,6000
2023-06-20,3000
2023-06-20,4000
2023-06-20,5000
2023-06-20,6000
2023-06-21,3000
2023-06-21,3500
2023-06-21,4500
2023-06-21,6000
2023-06-22,2500
2023-06-22,3500
2023-06-22,4000
2023-06-22,5000
2023-06-23,2500
2023-06-23,3000
2023-06-23,4500
2023-06-23,6000
2023-06-26,3000
2023-06-26,3500
2023-06-26,6000
2023-06-27,3000
2023-06-27,4000
2023-06-27,6000
2023-06-28,3500
2023-06-28,4000
2023-06-28,4500
2023-06-28,6000
2023-06-30,3000
2023-06-30,3500
2023-06-30,4000
2023-07-01,3000
2023-07-01,3500
2023-07-01,3800
2023-07-03,3000
2023-07-03,3500
2023-07-03,3800
2023-07-03,6000
2023-07-04,3000
2023-07-04,3000
2023-07-04,3800
2023-07-05,3000
2023-07-05,3000
2023-07-06,2800
2023-07-06,3000
2023-07-06,3500
2023-07-07,3000
2023-07-07,3500
2023-07-07,5000
2023-07-10,2800
2023-07-10,2800
2023-07-10,3500
2023-07-11,2800
2023-07-11,3000
2023-07-11,3500
2023-07-12,3000
2023-07-12,3500
2023-07-12,4000
2023-07-13,3000
2023-07-13,3500
2023-07-14,3000
2023-07-14,3500
2023-07-15,3000
2023-07-15,3500
2023-07-17,2800
2023-07-17,3000
2023-07-17,7000
2023-07-18,2800
2023-07-18,3500
2023-07-19,3500
2023-07-20,3000
2023-07-20,4000
2023-07-21,3500
2023-07-24,3500
2023-07-25,3000
2023-07-26,4000
2023-07-27,3500
2023-07-28,4000
2023-07-31,4000
2023-08-01,4000
2023-08-02,4000
2023-08-03,3500
2023-08-04,3500
2023-08-05,3500
2023-08-07,3500
2023-08-08,3500
2023-08-09,3500
2023-08-10,4000
2023-08-11,3500
2023-08-14,4000
2023-08-17,4000
2023-08-18,5500
2024-04-15,2500
2024-04-15,4500
2024-04-15,5000
2024-04-15,7500
