Date,Price
2023-06-01,2000
2023-06-02,2000
2023-06-03,2000
2023-06-05,1600
2023-06-06,3500
2023-06-07,1600
2023-06-08,1800
2023-06-09,1500
2023-06-12,1500
2023-06-13,1800
2023-06-14,1600
2023-06-15,2000
2023-06-16,2000
2023-06-17,2000
2023-06-19,2400
2023-06-20,2000
2023-06-21,2000
2023-06-22,2000
2023-06-23,2000
2023-06-26,2000
2023-06-27,2000
2023-06-28,2000
2023-06-30,1800
2023-07-01,2000
2023-07-03,2000
2023-07-04,1800
2023-07-05,1400
2023-07-06,1500
2023-07-07,1500
2023-07-10,1500
2023-07-11,1500
2023-07-12,2000
2023-07-13,2000
2023-07-14,2000
2023-07-15,1800
2023-07-17,2000
2023-07-18,2000
2023-07-19,2000
2023-07-20,2000
2023-07-21,1500
2023-07-24,1600
2023-07-25,2000
2023-07-26,1800
2023-07-27,1800
2023-07-28,1500
2023-07-31,1600
2023-08-01,1800
2023-08-02,1600
2023-08-03,1600
2023-08-04,1500
2023-08-05,1800
2023-08-07,1800
2023-08-08,1800
2023-08-09,2000
2023-08-10,1800
2023-08-11,1600
2023-08-14,2500
2023-08-17,3000
2023-08-18,3000
2023-08-19,2500
2023-08-21,2800
2023-08-22,2500
2023-08-23,3000
2023-08-24,2000
2023-08-25,3000
2023-08-28,2500
2023-08-29,2500
2023-08-30,2000
2023-08-31,2500
2023-09-01,2200
2023-09-02,2200
2023-09-04,2000
2023-09-05,1600
2023-09-06,2000
2023-09-08,1600
2023-09-11,2500
2023-09-12,1500
2023-09-13,1500
2023-09-14,1500
2023-09-15,1500
2023-09-16,1500
2023-09-19,3500
2023-09-20,1500
2023-09-21,1600
2023-09-22,1800
2023-09-23,1500
2023-09-25,1500
2023-09-26,1500
2023-09-27,1600
2023-09-28,1600
2023-09-29,1600
2023-09-30,1500
2023-10-02,1500
2023-10-03,1200
2023-10-04,1500
2023-10-05,1500
2023-10-06,1600
2023-10-07,1600
2023-10-09,2000
2023-10-10,1500
2023-10-11,2000
2023-10-12,1400
2023-10-13,1400
2023-10-16,2000
2023-10-17,2000
2023-10-18,2000
2023-10-19,2000
2023-10-20,1600
2023-10-21,1600
2023-10-25,1600
2023-10-26,1600
2023-10-27,1600
2023-10-30,2000
2023-10-31,2000
2023-11-02,2000
2023-11-03,2000
2023-11-04,2000
2023-11-06,2000
2023-11-08,2000
2023-11-09,2000
2023-11-10,1800
2023-11-13,1800
2023-11-15,1800
2023-11-16,1800
2023-11-17,1200
2023-11-18,1200
2023-11-20,1200
2023-11-21,1200
2023-11-22,1800
2023-11-23,1200
2023-11-24,1400
2023-11-27,1200
2023-11-28,1200
2024-04-15,3000
