Date,Price
2023-01-02,14000
2023-01-03,14000
2023-01-04,14000
2023-01-05,14000
2023-01-06,13000
2023-01-07,16000
2023-01-09,13500
2023-01-10,14000
2023-01-11,14000
2023-01-12,14000
2023-01-13,16000
2023-01-16,13500
2023-01-17,12500
2023-01-18,15000
2023-01-19,14000
2023-01-20,16000
2023-01-21,14000
2023-01-23,12500
2023-01-24,14000
2023-01-25,14000
2023-01-27,12500
2023-01-30,14000
2023-01-31,14000
2023-02-01,14000
2023-02-02,14000
2023-02-03,14000
2023-02-04,14000
2023-02-06,16000
2023-02-07,13000
2023-02-08,14000
2023-02-09,14000
2023-02-10,14000
2023-02-13,13000
2023-02-14,14000
2023-02-15,14000
2023-02-16,14000
2023-02-17,14000
2023-02-20,14000
2023-02-21,15500
2023-02-22,14000
2023-02-23,14000
2023-02-24,15000
2023-02-27,14500
2023-02-28,14000
2023-03-01,14000
2023-03-02,15000
2023-03-03,15000
2023-03-04,14000
2023-03-06,13000
2023-03-07,14000
2023-03-08,14000
2023-03-09,14000
2023-03-10,13000
2023-03-10,13000
2023-03-13,12500
2023-03-14,13000
2023-03-15,14000
2023-03-16,13000
2023-03-17,12500
2023-03-18,13000
2023-03-20,13500
2023-03-21,12500
2023-03-23,13000
2023-03-24,13000
2023-03-27,13000
2023-03-28,14000
2023-03-29,6000
2023-03-30,13000
2023-03-31,13500
2023-04-01,14000
2023-04-03,13500
2023-04-05,14000
2023-04-06,14000
2023-04-10,13000
2023-04-11,14000
2023-04-12,10000
2023-04-13,14000
2023-04-15,14000
2023-04-17,12500
2023-04-18,12500
2023-04-19,13000
2023-04-20,14000
2023-04-21,14000
2023-04-24,14000
2023-04-25,13000
2023-04-26,13000
2023-04-27,12000
2023-04-28,13500
2023-04-29,12000
2023-05-02,12000
2023-05-03,13500
2023-05-04,12000
2023-05-05,13000
2023-05-08,12500
2023-05-09,15000
2023-05-11,12500
2023-05-12,13500
2023-05-15,13500
2023-05-16,13000
2023-05-17,13500
2023-05-18,12000
2023-05-19,13500
2023-05-20,13500
2023-05-22,12000
2023-05-23,13000
2023-05-24,11500
2023-05-25,13500
2023-05-26,13500
2023-05-29,12500
2023-05-30,13000
2023-05-31,12000
2023-06-01,12000
2023-06-02,12500
2023-06-03,12000
2023-06-05,13500
2023-06-06,2000
2023-06-06,2000
2023-06-07,12500
2023-06-08,12500
2023-06-09,12500
2023-06-12,12500
2023-06-13,12500
2023-06-14,13500
2023-06-15,12000
2023-06-16,12000
2023-06-17,12000
2023-06-19,13500
2023-06-20,12000
2023-06-21,13000
2023-06-22,12000
2023-06-23,1500
2023-06-26,13000
2023-06-27,15000
2023-06-28,13000
2023-06-30,12000
2023-07-01,1500
2023-07-03,13500
2023-07-04,12500
2023-07-05,12500
2023-07-06,13500
2023-07-07,12500
2023-07-10,12500
2023-07-11,13500
2023-07-12,14500
2023-07-13,14500
2023-07-14,12500
2023-07-15,12500
2023-07-17,13500
2023-07-18,12500
2023-07-19,13500
2023-07-20,12500
2023-07-21,12000
2023-07-24,10000
2023-07-25,13500
2023-07-26,12000
2023-07-27,12500
2023-07-28,12500
2023-07-31,12500
2023-08-01,12000
2023-08-02,12000
2023-08-03,12000
2023-08-04,12000
2023-08-05,12500
2023-08-07,12000
2023-08-08,13500
2023-08-09,12500
2023-08-10,12500
2023-08-11,12500
2023-08-14,12500
2023-08-17,13000
2023-08-18,13500
2023-08-19,13500
2023-08-21,12000
2023-08-22,12000
2023-08-23,10000
2023-08-24,10000
2023-08-25,10000
