Date,Price
2023-01-02,5100
2023-01-03,5100
2023-01-04,5100
2023-01-05,5100
2023-01-06,3750
2023-01-07,3750
2023-01-09,3750
2023-01-10,3750
2023-01-11,3750
2023-01-12,3750
2023-01-13,3750
2023-01-16,3750
2023-01-17,3750
2023-01-18,3750
2023-01-19,3750
2023-01-20,3750
2023-01-21,4400
2023-01-23,4400
2023-01-24,4400
2023-01-25,4400
2023-01-27,4400
2023-01-30,4400
2023-01-31,4400
2023-02-01,4400
2023-02-02,4400
2023-02-03,4400
2023-02-04,4400
2023-02-06,4400
2023-02-07,4400
2023-02-08,4400
2023-02-09,4400
2023-02-10,4400
2023-02-13,4400
2023-02-14,4400
2023-02-15,4400
2023-02-17,4400
2023-02-20,4400
2023-02-21,4400
2023-02-22,4400
2023-02-23,4400
2023-02-24,4400
2023-02-27,4400
2023-02-28,4400
2023-03-02,4400
2023-03-03,4400
2023-03-04,4400
2023-03-06,4400
2023-03-07,4400
2023-03-08,4400
2023-03-09,4400
2023-03-10,4400
2023-03-13,4400
2023-03-14,4400
2023-03-15,4400
2023-03-16,4400
2023-03-17,4400
2023-03-18,4400
2023-03-20,4400
2023-03-21,4400
2023-03-23,4400
2023-03-24,4400
2023-03-27,4400
2023-03-28,4400
2023-03-29,4400
2023-03-30,4400
2023-03-31,4400
2023-04-01,4400
2023-04-03,4400
2023-04-05,4400
2023-04-06,4400
2023-04-10,4400
2023-04-11,4100
2023-04-12,4100
2023-04-13,4100
2023-04-15,4100
2023-04-17,4100
2023-04-18,4100
2023-04-19,4100
2023-04-20,4100
2023-04-21,4100
2023-04-24,4100
2023-04-25,4100
2023-04-26,4100
2023-04-27,4100
2023-04-28,4100
2023-04-29,4100
2023-05-02,4100
2023-05-03,4100
2023-05-04,4100
2023-05-05,4100
2023-05-06,4100
2023-05-08,4100
2023-05-09,4100
2023-05-11,4100
2023-05-12,4100
2023-05-15,4100
2023-05-16,4100
2023-05-17,4100
2023-05-18,4100
2023-05-19,4100
2023-05-20,4100
2023-05-22,4100
2023-05-23,4100
2023-05-26,4900
2023-05-29,4900
2023-05-30,4900
2023-05-31,4900
2023-06-01,4900
2023-06-02,4900
2023-06-03,4900
2023-06-05,4900
2023-06-06,4900
2023-06-07,4900
2023-06-08,4900
2023-06-09,4900
2023-06-12,4900
2023-06-13,4900
2023-06-14,4900
2023-06-15,4900
2023-06-16,4900
2023-06-17,4900
2023-06-19,4900
2023-06-20,4900
2023-06-21,4900
2023-06-22,4900
2023-06-23,4900
2023-06-26,4900
2023-06-27,5600
2023-06-28,5600
2023-06-30,6150
2023-07-01,6150
2023-07-03,6150
2023-07-04,6150
2023-07-05,6150
2023-07-06,6150
2023-07-07,6150
2023-07-12,6150
2023-07-13,6150
2023-07-14,6150
2023-07-17,6150
2023-07-18,6150
2023-07-20,6150
2023-07-21,6150
2023-07-24,6150
2023-07-25,6150
2023-07-26,6150
2023-07-27,5850
2023-07-28,6150
2023-07-31,6150
2023-08-01,5200
2023-08-02,5200
2023-08-03,5200
2023-08-04,5200
2023-08-05,5200
2023-08-07,5200
2023-08-08,5200
2023-08-09,5200
2023-08-10,5200
2023-08-11,5200
2023-08-17,6100
2023-08-18,6100
2023-08-19,6100
2023-08-21,6100
2023-08-22,6100
2023-08-23,6100
2023-08-25,6100
2023-08-28,6100
2023-08-29,6100
2023-08-30,5050
2023-08-31,5050
2023-09-01,5700
2023-09-02,5700
2023-09-04,6500
2023-09-04,6000
2023-09-04,3700
2023-09-05,6500
2023-09-05,3700
2023-09-05,6000
2023-09-06,3700
2023-09-06,6500
2023-09-06,6000
2023-09-08,3700
2023-09-08,6000
2023-09-08,6500
2023-09-11,6000
2023-09-11,3700
2023-09-11,6500
2023-09-12,3700
2023-09-12,6500
2023-09-12,6000
2023-09-13,6000
2023-09-13,3700
2023-09-13,6500
2023-09-15,3700
2023-09-15,6500
2023-09-15,6000
2023-09-16,3700
2023-09-16,6500
2023-09-16,6000
2023-09-19,3700
2023-09-19,6000
2023-09-19,6500
2023-09-21,3700
2023-09-21,6500
2023-09-21,6000
2023-10-03,6000
2023-10-03,3700
2023-10-03,6500
2023-10-04,6500
2023-10-04,6000
2023-10-04,3700
2023-10-05,6500
2023-10-05,3700
2023-10-05,6000
2023-10-06,6000
2023-10-06,3700
2023-10-06,6500
2023-10-07,3700
2023-10-07,6000
2023-10-07,6500
2023-10-09,6500
2023-10-09,3700
2023-10-09,6000
2023-10-16,5300
2023-10-16,3700
2023-10-16,6000
2023-10-17,6000
2023-10-17,5300
2023-10-17,3700
2023-10-18,3700
2023-10-18,5300
2023-10-18,6000
2023-10-19,3700
2023-10-19,6000
2023-10-19,5300
2023-10-20,5300
2023-10-20,3700
2023-10-20,6000
2023-10-21,5300
2023-10-21,3700
2023-10-21,6000
2023-10-25,3700
2023-10-25,6000
2023-10-25,5300
2023-10-26,5300
2023-10-26,6000
2023-10-26,3700
2023-10-27,3700
2023-10-27,6000
2023-10-27,5300
2023-10-30,5300
2023-10-30,3700
2023-10-30,6000
2023-11-02,3700
2023-11-02,6000
2023-11-02,5300
2023-11-03,5300
2023-11-03,3700
2023-11-03,6000
2023-11-04,3700
2023-11-04,6000
2023-11-04,5300
2023-11-06,6000
2023-11-06,3700
2023-11-06,5300
2023-11-07,5300
2023-11-07,3700
2023-11-07,6000
2023-11-08,5300
2023-11-08,3700
2023-11-08,6000
2023-11-09,3700
2023-11-09,6000
2023-11-09,5300
2023-11-15,6000
2023-11-15,5300
2023-11-15,3700
2023-11-17,3700
2023-11-17,6000
2023-11-17,5300
2023-11-18,3700
2023-11-18,6000
2023-11-18,5300
2023-11-20,5300
2023-11-20,3700
2023-11-20,6000
2023-11-21,3700
2023-11-21,6000
2023-11-21,5300
2023-11-22,5200
2023-11-22,4000
2023-11-22,5600
2023-11-23,5600
2023-11-23,5200
2023-11-23,4000
2023-11-27,5600
2023-11-27,4000
2023-11-27,5200
2023-11-28,4000
2023-11-28,5200
2023-11-28,5600
2023-11-29,5200
2023-11-29,5600
2023-11-29,4000
2023-12-01,4000
2023-12-01,5200
2023-12-01,5600
2023-12-02,4000
2023-12-02,5200
2023-12-02,5600
2023-12-04,4000
2023-12-04,5600
2023-12-04,5200
2023-12-05,5200
2023-12-05,5600
2023-12-05,4000
2023-12-06,5600
2023-12-06,4000
2023-12-06,5200
2023-12-07,4000
2023-12-07,5600
2023-12-07,5200
2023-12-08,5200
2023-12-08,4000
2023-12-08,5600
2023-12-11,5200
2023-12-11,4000
2023-12-11,5600
2023-12-12,4000
2023-12-12,5600
2023-12-12,5200
2023-12-13,4000
2023-12-13,5200
2023-12-13,5600
2023-12-14,4000
2023-12-14,5600
2023-12-14,5200
2023-12-15,5600
2023-12-15,4000
2023-12-15,5200
2023-12-20,6250
2023-12-20,5750
2023-12-20,4650
2023-12-21,4650
2023-12-21,5750
2023-12-21,6250
2023-12-22,4650
2023-12-22,4650
2023-12-22,6250
2023-12-26,5750
2023-12-26,4650
2023-12-26,6250
2023-12-27,6250
2023-12-27,5750
2023-12-27,4650
2023-12-28,4650
2023-12-28,6250
2023-12-28,5750
2023-12-29,6250
2023-12-29,4650
2023-12-29,5750
2023-12-30,4650
2023-12-30,6250
2023-12-30,5750
2024-01-01,4650
2024-01-01,6250
2024-01-01,5750
2024-01-02,5750
2024-01-02,6250
2024-01-02,4650
2024-01-03,4650
2024-01-03,5750
2024-01-03,6250
2024-01-04,6250
2024-01-04,5750
2024-01-04,4650
2024-01-05,4650
2024-01-05,5750
2024-01-05,6250
2024-01-06,4650
2024-01-06,5750
2024-01-06,6250
2024-01-08,4650
2024-01-08,6250
2024-01-08,5750
2024-01-09,4650
2024-01-09,6250
2024-01-09,5750
2024-01-10,6250
2024-01-10,5750
2024-01-10,4650
2024-01-19,6100
2024-01-19,6950
2024-01-19,3850
2024-01-20,6950
2024-01-20,3850
2024-01-20,6100
2024-01-22,6950
2024-01-22,3850
2024-01-22,6100
2024-01-23,6950
2024-01-23,3850
2024-01-23,6100
2024-01-24,6100
2024-01-24,3850
2024-01-24,6950
2024-01-25,6950
2024-01-25,6100
2024-01-25,3850
2024-01-29,6950
2024-01-29,6100
2024-01-29,3850
2024-01-30,6950
2024-01-30,6100
2024-01-30,3850
2024-02-01,6100
2024-02-01,6950
2024-02-01,3850
2024-02-02,6100
2024-02-02,3850
2024-02-02,6950
2024-02-03,6950
2024-02-03,3850
2024-02-03,6100
2024-02-07,3850
2024-02-07,6950
2024-02-07,6100
2024-02-08,6950
2024-02-08,3850
2024-02-08,6100
2024-02-14,4850
2024-02-14,4000
2024-02-14,5850
2024-02-15,4850
2024-02-15,5850
2024-02-15,4000
2024-02-16,4000
2024-02-16,4850
2024-02-16,5850
2024-02-17,5850
2024-02-17,4000
2024-02-17,4850
2024-02-19,4850
2024-02-19,5840
2024-02-19,4000
2024-02-20,4000
2024-02-20,4850
2024-02-20,5850
2024-02-21,4000
2024-02-21,4850
2024-02-21,5850
2024-02-27,5850
2024-02-27,4850
2024-02-27,4000
2024-02-28,5850
2024-02-28,4850
2024-02-28,4000
2024-02-29,5850
2024-02-29,4850
2024-02-29,4000
2024-03-01,4000
2024-03-01,5850
2024-03-01,4850
2024-03-02,5850
2024-03-02,4850
2024-03-02,4000
2024-03-04,5850
2024-03-04,4000
2024-03-04,4850
2024-03-05,5850
2024-03-05,4000
2024-03-05,4850
2024-03-06,4000
2024-03-06,5850
2024-03-06,4850
2024-03-07,4850
2024-03-07,5850
2024-03-07,4000
2024-03-11,3250
2024-03-11,5200
2024-03-11,6100
2024-03-12,5200
2024-03-12,3250
2024-03-12,6100
2024-03-13,3250
2024-03-13,5200
2024-03-13,6100
2024-03-14,3250
2024-03-14,6100
2024-03-14,5200
