Date,Price
2023-01-02,1000
2023-01-03,1000
2023-01-04,1200
2023-01-05,1200
2023-01-06,1200
2023-01-07,1000
2023-01-09,1100
2023-01-10,1000
2023-01-11,1100
2023-01-12,1000
2023-01-13,1200
2023-01-16,1000
2023-01-17,1000
2023-01-18,1200
2023-01-19,1100
2023-01-20,1000
2023-01-21,1000
2023-01-23,1100
2023-01-24,1200
2023-01-25,1100
2023-01-27,1200
2023-01-30,1000
2023-01-31,1000
2023-02-01,1000
2023-02-02,1100
2023-02-03,1000
2023-02-04,1000
2023-02-06,1200
2023-02-07,900
2023-02-08,900
2023-02-09,1000
2023-02-10,1000
2023-02-13,1000
2023-02-14,1000
2023-02-15,1000
2023-02-16,1000
2023-02-17,1000
2023-02-20,1100
2023-02-21,1000
2023-02-22,1200
2023-02-23,1000
2023-02-24,1000
2023-02-27,1000
2023-02-28,1200
2023-03-01,1000
2023-03-02,1000
2023-03-03,1300
2023-03-04,1400
2023-03-06,1500
2023-03-07,1300
2023-03-08,1500
2023-03-09,1200
2023-03-10,1500
2023-03-13,1500
2023-03-14,1400
2023-03-15,1500
2023-03-16,1500
2023-03-17,1400
2023-03-18,1400
2023-03-20,1400
2023-03-21,1500
2023-03-23,1500
2023-03-24,1400
2023-03-27,1300
2023-03-28,1400
2023-03-29,2000
2023-03-30,1400
2023-03-31,1500
2023-04-01,1400
2023-04-03,1500
2023-04-05,1500
2023-04-06,1400
2023-04-10,1100
2023-04-11,1000
2023-04-12,1300
2023-04-13,1400
2023-04-15,1500
2023-04-17,1200
2023-04-18,1600
2023-04-19,1200
2023-04-20,1500
2023-04-21,1500
2023-04-24,1500
2023-04-25,1500
2023-04-26,1500
2023-04-27,1600
2023-04-28,1500
2023-04-29,1500
2023-05-02,1600
2023-05-03,1400
2023-05-04,1200
2023-05-05,1000
2023-05-08,1000
2023-05-09,1200
2023-05-11,1600
2023-05-12,1200
2023-05-15,1200
2023-05-16,1200
2023-05-17,1400
2023-05-18,1500
2023-05-19,1400
2023-05-20,1400
2023-05-22,2000
2023-05-23,2000
2023-05-24,1400
2023-05-25,1500
2023-05-26,1200
2023-05-29,2000
2023-05-30,2000
2023-05-31,2000
2023-06-01,2000
2023-06-02,2000
2023-06-03,1600
2023-06-05,1500
2023-06-06,2000
2023-06-07,2000
2023-06-08,2000
2023-06-09,2000
2023-06-12,2000
2023-06-13,2000
2023-06-14,1800
2023-06-15,2000
2023-06-16,1600
2023-06-17,2000
2023-06-19,2000
2023-06-20,2000
2023-06-21,1500
2023-06-22,2000
2023-06-23,1500
2023-06-26,1500
2023-06-27,2000
2023-06-28,1600
2023-06-30,1200
2023-07-01,1500
2023-07-03,2000
2023-07-04,1500
2023-07-05,1200
2023-07-06,1200
2023-07-07,1000
2023-07-10,1200
2023-07-11,1200
2023-07-12,1400
2023-07-13,1200
2023-07-14,1000
2023-07-15,1500
2023-07-17,2000
2023-07-18,1800
2023-07-19,1500
2023-07-20,1600
2023-07-21,1200
2023-07-24,1400
2023-07-25,1200
2023-07-26,700
2023-07-27,1200
2023-07-28,1000
2023-07-31,1200
2023-08-01,1500
2023-08-02,1200
2023-08-03,1200
2023-08-04,1500
2023-08-05,1200
2023-08-07,1200
2023-08-08,1600
2023-08-09,1200
2023-08-10,1500
2023-08-11,1000
2023-08-14,1200
2023-08-17,1000
2023-08-18,1400
2023-08-19,1200
2023-08-21,1200
2023-08-22,1200
2023-08-23,1200
2023-08-24,1000
2023-08-25,1200
2023-08-28,1200
2023-08-29,1000
2023-08-30,1200
2023-08-31,1200
2023-09-01,1200
2023-09-02,1200
2023-09-04,1200
2023-09-05,1000
2023-09-06,1200
2023-09-08,1000
2023-09-11,1200
2023-09-12,1000
2023-09-13,1200
2023-09-14,1000
2023-09-15,1000
2023-09-16,1000
2023-09-19,1000
2023-09-20,1000
2023-09-21,1000
2023-09-22,1200
2023-09-23,1000
2023-09-25,1000
2023-09-26,800
2023-09-27,1000
2023-09-28,1200
2023-09-29,1000
2023-09-30,1000
2023-10-02,1000
2023-10-02,1000
2023-10-03,1200
2023-10-04,1200
2023-10-05,1200
2023-10-06,1200
2023-10-07,1200
2023-10-09,1200
2023-10-10,1200
2023-10-11,1200
2023-10-12,1000
2023-10-13,1200
2023-10-16,1000
2023-10-17,1000
2023-10-18,1000
2023-10-19,1000
2023-10-20,1000
2023-10-21,1200
2023-10-25,1000
2023-10-26,1000
2023-10-27,1000
2023-10-30,1000
2023-10-31,1200
2023-11-02,1000
2023-11-03,1200
2023-11-04,1000
2023-11-06,1000
2023-11-07,1200
2023-11-08,1200
2023-11-09,1200
2023-11-10,1000
2023-11-13,1000
2023-11-15,1000
2023-11-16,1000
2023-11-17,1000
2023-11-18,1000
2023-11-20,1000
2023-11-21,1000
2023-11-22,1000
2023-11-23,1000
2023-11-24,1000
2023-11-27,1000
2023-11-28,1000
2024-04-15,1400
